"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
1,Fri  25 Aug 2017 19:16:56 +0000,"20170825.1916.001","Ship","startCruise","NaN","NaN","NaN"," 64.493978"," -165.438402",,"dNaber",,"skq201713s","skq201713s-SE-20170825.1916.001","20170825.1800","2017/08/25 17:59:44","2017-08-25T18:00:00+0000",
2,Fri  25 Aug 2017 19:17:31 +0000,"20170825.1917.001","centerBoard","start","NaN","NaN","NaN"," 64.470627"," -165.468770",,"dNaber","deployed position","skq201713s","skq201713s-SE-20170825.1917.001","20170825.1830","2017/08/25 18:29:59","2017-08-25T18:30:00+0000",
3,Fri  25 Aug 2017 19:18:14 +0000,"20170825.1918.001","UNCSW","start","NaN","NaN","NaN"," 64.445376"," -165.605657",,"dNaber",,"skq201713s","skq201713s-SE-20170825.1918.001","20170825.1910","2017/08/25 19:10:01","2017-08-25T19:10:00+0000",
4,Fri  25 Aug 2017 22:39:13 +0000,"20170825.2239.001","PCO2","start","NaN","NaN","NaN"," 64.617594"," -166.777115",,"dNaber",,"skq201713s","skq201713s-SE-20170825.2239.001","20170825.2239","2017/08/25 22:39:13","2017-08-25T22:39:13+0000",
5,Sat  26 Aug 2017 05:00:59 +0000,"20170826.0500.001","EK60","other","NaN","NaN","NaN"," 65.370531"," -168.078573",,"mLowe","Updated sound speed","skq201713s","skq201713s-SE-20170826.0500.001","20170826.0500","2017/08/26 05:00:59","2017-08-26T05:00:59+0000",
6,Sun  27 Aug 2017 10:19:17 +0000,"20170827.1019.001","Slocum Glider","recover","NaN","NaN","NaN"," 69.002925"," -168.016823",,"cAshjian","UAF / Stafford Glider ","skq201713s","skq201713s-SE-20170827.1019.001","20170827.0945","2017/08/27 09:45:05","2017-08-27T09:45:00+0000",
7,Sun  27 Aug 2017 15:48:20 +0000,"20170827.1548.001","UNCSW","service","NaN","NaN","NaN"," 69.622592"," -166.237817",,"dNaber","changed strainer","skq201713s","skq201713s-SE-20170827.1548.001","20170827.1548","2017/08/27 15:48:17","2017-08-27T15:48:17+0000"," & Sun Aug 27 20:55:11 2017"
8,Sun  27 Aug 2017 20:54:25 +0000,"20170827.2054.001","UNCSW","service","NaN","NaN","NaN"," 71.781020"," -154.463204",,"dNaber","Changed strainer.  Looking for krill. :-)  None.","skq201713s","skq201713s-SE-20170827.2054.001","20170828.2227","2017/08/28 22:27:32","2017-08-28T22:27:32+0000"," & Sun Aug 27 20:56:04 2017 & Mon Aug 28 22:27:32 2017"
9,Mon  28 Aug 2017 21:49:52 +0000,"20170828.2149.001","PS18","stop","NaN","NaN","NaN"," 71.808239"," -154.766978",,"eRoth",,"skq201713s","skq201713s-SE-20170828.2149.001","20170828.2149","2017/08/28 21:49:52","2017-08-28T21:49:52+0000",
10,Mon  28 Aug 2017 22:57:49 +0000,"20170828.2257.001","OS150","start","NaN","NaN","NaN"," 71.757319"," -154.215642",,"eRoth","NB mode only, 60x 4m bins, SKQ201713S_01 dataset","skq201713s","skq201713s-SE-20170828.2257.001","20170828.2257","2017/08/28 22:57:49","2017-08-28T22:57:49+0000",
12,Tue  29 Aug 2017 03:11:00 +0000,"20170829.0310.001","Acrobat","recover","NaN","1","NaN"," 71.133056"," -151.636494",,"pAlatalo","Lat/Lon hand-written; autofill not working.","skq201713s","skq201713s-SE-20170829.0310.001","20170829.2351","2017/08/29 23:51:51","2017-08-29T23:51:51+0000"," & Tue Aug 29 03:12:42 2017 & Thu Aug 31 04:41:29 2017"
14,Tue  29 Aug 2017 05:42:49 +0000,"20170829.0542.001","Fish Net","deploy",,"1",," 71.739093"," -153.482936",,"cHernandez","Test Stn","skq201713s","skq201713s-SE-20170829.0542.001","20170829.0249","2017/08/29 02:49:52","2017-08-29T02:49:52+0000"," & Tue Aug 29 05:43:28 2017 & Tue Aug 29 05:44:49 2017 & Tue Aug 29 05:45:26 2017 & Tue Aug 29 22:21:01 2017 & Fri Sep 15 20:00:26 2017 & Fri Sep 15 20:02:38 2017"
15,Tue  29 Aug 2017 08:18:41 +0000,"20170829.0818.001","Bongo Nets","deploy","NaN","1","1"," 71.765801"," -153.354869",,"pAlatalo",,"skq201713s","skq201713s-SE-20170829.0818.001","20170829.0512","2017/08/29 05:12:22","2017-08-29T05:12:30+0000",
16,Tue  29 Aug 2017 08:20:37 +0000,"20170829.0820.001","Bongo Nets","recover","NaN","1","1"," 71.769027"," -153.342123",,"pAlatalo","TDR depth 60.01 m","skq201713s","skq201713s-SE-20170829.0820.001","20170829.0521","2017/08/29 05:20:52","2017-08-29T05:21:00+0000",
17,Tue  29 Aug 2017 09:03:10 +0000,"20170829.0903.001","Ship","other","NaN","NaN","NaN"," 71.500053"," -152.668209",,"dNaber","Start of survey line","skq201713s","skq201713s-SE-20170829.0903.001","20170829.0903","2017/08/29 09:03:07","2017-08-29T09:03:07+0000"," & Tue Aug 29 10:49:32 2017"
18,Tue  29 Aug 2017 10:49:05 +0000,"20170829.1049.001","Ship","other","NaN","NaN","NaN"," 71.356098"," -152.327710",,"dNaber","End of survey line","skq201713s","skq201713s-SE-20170829.1049.001","20170829.1049","2017/08/29 10:49:07","2017-08-29T10:49:07+0000"," & Tue Aug 29 10:50:17 2017"
20,Tue  29 Aug 2017 20:37:53 +0000,"20170829.2037.001","EK60","other","Switched from TS mode(while at mooring locations) to survey mode ","NaN","NaN"," 71.223518"," -150.960624",,"Jenn",,"skq201713s","skq201713s-SE-20170829.2037.001","20170829.2037","2017/08/29 20:37:50","2017-08-29T20:37:50+0000"," & Wed Aug 30 12:39:22 2017"
22,Wed  30 Aug 2017 02:10:22 +0000,"20170830.0210.001","UNCSW","service","NaN","NaN","NaN"," 71.319847"," -151.276939",,"eRoth","changed to clean strainer","skq201713s","skq201713s-SE-20170830.0210.001","20170830.0210","2017/08/30 02:10:22","2017-08-30T02:10:22+0000",
23,Wed  30 Aug 2017 03:18:37 +0000,"20170830.0318.001","Fish Net","recover",,"1",," 71.749781"," -153.438961",,"cHernandez","Test Stn","skq201713s","skq201713s-SE-20170830.0318.001","20170829.0321","2017/08/29 03:21:52","2017-08-29T03:21:52+0000"," & Fri Sep 15 20:01:56 2017 & Fri Sep 15 20:02:08 2017"
24,Wed  30 Aug 2017 15:14:17 +0000,"20170830.1514.001","Fish Net","deploy","2","5",," 71.391365"," -151.040714",,"cHernandez","WPNT 2.2","skq201713s","skq201713s-SE-20170830.1514.001","20170830.1500","2017/08/30 15:00:53","2017-08-30T15:00:53+0000"," & Wed Sep  6 08:53:49 2017"
25,Wed  30 Aug 2017 15:18:32 +0000,"20170830.1518.001","Fish Net","At Target Depth","2","5",," 71.384857"," -151.019120",,"cHernandez","WPNT 2.2","skq201713s","skq201713s-SE-20170830.1518.001","20170830.1518","2017/08/30 15:18:38","2017-08-30T15:18:38+0000"," & Wed Sep  6 08:54:21 2017"
26,Wed  30 Aug 2017 15:46:47 +0000,"20170830.1546.001","Fish Net","End Target Depth","2","5",," 71.372318"," -150.970460",,"cHernandez","WPNT 2.2","skq201713s","skq201713s-SE-20170830.1546.001","20170830.1546","2017/08/30 15:46:53","2017-08-30T15:46:53+0000"," & Wed Sep  6 08:54:48 2017"
27,Wed  30 Aug 2017 17:13:09 +0000,"20170830.1713.001","Fish Net","recover","2","5",," 71.364697"," -150.949445",,"cHernandez","WPNT 2.2","skq201713s","skq201713s-SE-20170830.1713.001","20170830.1608","2017/08/30 16:08:53","2017-08-30T16:08:53+0000"," & Wed Aug 30 17:15:08 2017 & Wed Sep  6 08:55:16 2017"
30,Thu  31 Aug 2017 03:01:13 +0000,"20170831.0301.001","Bongo Nets","deploy","2","5","2"," 71.422418"," -151.017361","1196","pAlatalo","WPNT 2.2","skq201713s","skq201713s-SE-20170831.0301.001","20170830.0709","2017/08/30 07:09:23","2017-08-30T07:09:23+0000"," & Thu Sep 14 03:22:10 2017"
31,Thu  31 Aug 2017 03:02:02 +0000,"20170831.0302.001","Bongo Nets","recover","2","5",," 71.450646"," -150.972450","1196","pAlatalo","WPNT 2.2","skq201713s","skq201713s-SE-20170831.0302.001","20170830.0748","2017/08/30 07:48:23","2017-08-30T07:48:23+0000"," & Thu Sep 14 03:22:52 2017"
32,Thu  31 Aug 2017 03:10:21 +0000,"20170831.0310.001","Bongo Nets","deploy","2","7",," 71.334585"," -151.068832","141 tdr depth","pAlatalo","WPNT 2.4","skq201713s","skq201713s-SE-20170831.0310.001","20170830.1948","2017/08/30 19:48:23","2017-08-30T19:48:23+0000"," & Thu Sep 14 03:23:46 2017"
33,Thu  31 Aug 2017 03:11:39 +0000,"20170831.0311.001","Bongo Nets","recover","2","7",," 71.346441"," -151.035244","207","pAlatalo","WPNT 2.4","skq201713s","skq201713s-SE-20170831.0311.001","20170830.2012","2017/08/30 20:12:08","2017-08-30T20:12:08+0000"," & Thu Aug 31 03:12:27 2017 & Thu Sep 14 03:24:47 2017"
34,Thu  31 Aug 2017 03:13:39 +0000,"20170831.0313.001","Bongo Nets","deploy","2","9",," 71.243183"," -151.102329","55","pAlatalo","WPNT 2.6","skq201713s","skq201713s-SE-20170831.0313.001","20170830.2341","2017/08/30 23:41:38","2017-08-30T23:41:38+0000"," & Thu Aug 31 03:14:54 2017 & Thu Aug 31 09:56:20 2017 & Thu Sep 14 03:25:31 2017"
35,Thu  31 Aug 2017 03:17:37 +0000,"20170831.0317.001","Bongo Nets","deploy","2.8","11",," 71.152260"," -151.184665","36","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0317.001","20170831.0125","2017/08/31 01:25:53","2017-08-31T01:25:53+0000"," & Thu Aug 31 03:19:28 2017 & Thu Sep 14 03:26:01 2017 & Thu Sep 14 04:23:31 2017"
36,Thu  31 Aug 2017 03:18:55 +0000,"20170831.0318.001","Bongo Nets","recover","2.8","11","5"," 71.153415"," -151.175873","36","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0318.001","20170831.0132","2017/08/31 01:32:53","2017-08-31T01:32:53+0000"," & Thu Sep 14 04:23:06 2017"
37,Thu  31 Aug 2017 03:25:35 +0000,"20170831.0325.001","Tucker Trawl","deploy","NaN","1","1"," 71.758606"," -153.385645","138","pAlatalo","test station gpstime 04 40 55","skq201713s","skq201713s-SE-20170831.0325.001","20170829.0440","2017/08/29 04:40:52","2017-08-29T04:40:52+0000"," & Thu Aug 31 03:37:11 2017 & Thu Aug 31 03:38:13 2017 & Thu Aug 31 23:09:04 2017 & Thu Aug 31 23:10:29 2017 & Thu Sep  7 03:26:06 2017"
39,Thu  31 Aug 2017 03:26:38 +0000,"20170831.0326.002","Tucker Trawl","recover","NAN","1","1"," 71.764112"," -153.365315","72 tdr depth","pAlatalo","test station","skq201713s","skq201713s-SE-20170831.0326.002","20170829.0457","2017/08/29 04:57:07","2017-08-29T04:57:07+0000"," & Thu Aug 31 03:27:50 2017 & Thu Aug 31 03:33:38 2017"
40,Thu  31 Aug 2017 03:42:24 +0000,"20170831.0342.001","Tucker Trawl","deploy","2.2","5","1"," 71.413137"," -151.040966","169 tdr depth","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0342.001","20170830.0920","2017/08/30 09:20:53","2017-08-30T09:20:53+0000"," & Thu Aug 31 04:59:28 2017 & Thu Aug 31 08:20:13 2017 & Thu Sep 14 15:50:44 2017"
41,Thu  31 Aug 2017 04:44:19 +0000,"20170831.0444.001","Ring Net","deploy","2.2","5","1"," 71.421725"," -151.020936","to 98m TDR","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0444.001","20170830.0825","2017/08/30 08:25:23","2017-08-30T08:25:23+0000"," & Thu Aug 31 04:47:02 2017 & Thu Sep 14 15:55:21 2017"
42,Thu  31 Aug 2017 04:46:30 +0000,"20170831.0446.001","Ring Net","recover","2.2","5","1"," 71.416064"," -151.030108","to 98m TDR","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0446.001","20170830.0841","2017/08/30 08:41:08","2017-08-30T08:41:08+0000"," & Thu Sep 14 15:54:40 2017"
43,Thu  31 Aug 2017 04:49:30 +0000,"20170831.0449.001","Tucker Trawl","deploy","2.2","5","2"," 71.435436"," -150.981845","231 tdr depth","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0449.001","20170830.1023","2017/08/30 10:23:53","2017-08-30T10:23:53+0000"," & Thu Aug 31 05:09:03 2017 & Thu Aug 31 08:23:38 2017"
44,Thu  31 Aug 2017 04:50:51 +0000,"20170831.0450.001","Tucker Trawl","recover","2.2","5","1"," 71.431743"," -151.014076","169 tdr depth","pAlatalo","couldn't bring wire in to trip with messengers. single net oblique haul","skq201713s","skq201713s-SE-20170831.0450.001","20170830.0955","2017/08/30 09:55:53","2017-08-30T09:55:53+0000"," & Thu Aug 31 05:05:49 2017 & Thu Aug 31 08:21:13 2017"
46,Thu  31 Aug 2017 04:53:24 +0000,"20170831.0453.001","Tucker Trawl","recover","2.2","5","2"," 71.422408"," -151.025394","231 tdr depth","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0453.001","20170830.1105","2017/08/30 11:05:53","2017-08-30T11:05:53+0000"," & Thu Aug 31 05:09:58 2017 & Thu Aug 31 08:24:20 2017 & Thu Sep 14 15:56:01 2017"
47,Thu  31 Aug 2017 05:02:45 +0000,"20170831.0502.001","Bongo Nets","recover","2","9",," 71.243883"," -151.087043","55","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0502.001","20170830.2352","2017/08/30 23:52:53","2017-08-30T23:52:53+0000"," & Thu Sep 14 04:20:57 2017"
49,Thu  31 Aug 2017 06:16:56 +0000,"20170831.0616.001","CTD911","deploy","Test","1","001"," 71.769230"," -153.340160","160 m","cAshjian","Test Station","skq201713s","skq201713s-SE-20170831.0616.001","20170829.0553","2017/08/29 05:53:52","2017-08-29T05:53:52+0000"," & Fri Sep  8 03:18:42 2017"
50,Thu  31 Aug 2017 06:18:54 +0000,"20170831.0618.001","CTD911","recover","Test","1","001"," 71.769239"," -153.340131","160 m","cGelfman",,"skq201713s","skq201713s-SE-20170831.0618.001","20170829.0616","2017/08/29 06:16:52","2017-08-29T06:16:52+0000"," & Thu Aug 31 06:25:27 2017 & Thu Aug 31 06:26:09 2017 & Thu Aug 31 06:54:09 2017 & Thu Aug 31 06:55:59 2017 & Thu Sep 14 08:19:02 2017"
51,Thu  31 Aug 2017 06:52:05 +0000,"20170831.0652.001","CTD911","deploy","moorings 1","2","002"," 71.245339"," -150.553481","83 m","cGelfman","Mooring UPW80, with AZFP","skq201713s","skq201713s-SE-20170831.0652.001","20170829.1650","2017/08/29 16:50:22","2017-08-29T16:50:22+0000"," & Thu Aug 31 07:16:55 2017 & Tue Sep  5 21:52:08 2017 & Fri Sep  8 08:18:45 2017 & Thu Sep 14 08:19:47 2017"
52,Thu  31 Aug 2017 06:57:56 +0000,"20170831.0657.001","CTD911","recover","moorings 1","2","002"," 71.245345"," -150.553489","83 m","cGelfman",,"skq201713s","skq201713s-SE-20170831.0657.001","20170829.1659","2017/08/29 16:59:52","2017-08-29T16:59:52+0000"," & Thu Aug 31 07:07:09 2017 & Thu Aug 31 07:18:14 2017 & Fri Sep  8 08:19:44 2017 & Thu Sep 14 08:20:27 2017"
53,Thu  31 Aug 2017 07:08:55 +0000,"20170831.0708.001","CTD911","deploy","moorings 1","3","003"," 71.267798"," -150.703004","107 m","cGelfman",,"skq201713s","skq201713s-SE-20170831.0708.001","20170829.1932","2017/08/29 19:32:52","2017-08-29T19:32:52+0000"," & Fri Sep  8 08:20:12 2017 & Fri Sep  8 08:20:35 2017 & Thu Sep 14 08:20:59 2017"
54,Thu  31 Aug 2017 07:11:13 +0000,"20170831.0711.001","CTD911","recover","moorings 1","3","003"," 71.267794"," -150.703015","107 m","cGelfman",,"skq201713s","skq201713s-SE-20170831.0711.001","20170829.1943","2017/08/29 19:43:52","2017-08-29T19:43:52+0000"," & Fri Sep  8 08:20:55 2017 & Thu Sep 14 08:21:25 2017"
55,Thu  31 Aug 2017 07:13:50 +0000,"20170831.0713.001","CTD911","deploy","2","4","004"," 71.469320"," -150.988708","1196 m","cGelfman","WNPT 2.1","skq201713s","skq201713s-SE-20170831.0713.001","20170830.0341","2017/08/30 03:41:53","2017-08-30T03:41:53+0000"," & Fri Sep  1 13:05:00 2017 & Fri Sep  8 07:54:07 2017 & Fri Sep  8 08:21:40 2017"
56,Thu  31 Aug 2017 07:15:18 +0000,"20170831.0715.001","CTD911","recover","2","4","004"," 71.469320"," -150.988719","1196 m","cGelfman","WInch malfunctioned held for a long time at depth ","skq201713s","skq201713s-SE-20170831.0715.001","20170830.0619","2017/08/30 06:19:53","2017-08-30T06:19:53+0000"," & Thu Aug 31 07:19:47 2017 & Thu Aug 31 07:21:26 2017 & Fri Sep  1 13:05:30 2017 & Fri Sep  8 08:22:03 2017"
57,Thu  31 Aug 2017 07:23:06 +0000,"20170831.0723.001","CTD911","deploy","2","5","005"," 71.424308"," -151.017070","374.3 m","cGelfman","WPNT 2.2","skq201713s","skq201713s-SE-20170831.0723.001","20170830.1723","2017/08/30 17:23:53","2017-08-30T17:23:53+0000"," & Fri Sep  8 07:55:17 2017 & Fri Sep  8 08:22:34 2017"
58,Thu  31 Aug 2017 07:27:28 +0000,"20170831.0727.001","CTD911","recover","2","5","005"," 71.385216"," -151.040374","374.3 m","cGelfman","WPNT 2.2","skq201713s","skq201713s-SE-20170831.0727.001","20170830.1815","2017/08/30 18:15:23","2017-08-30T18:15:23+0000"," & Fri Sep  8 07:55:51 2017 & Fri Sep  8 08:23:14 2017"
59,Thu  31 Aug 2017 07:29:04 +0000,"20170831.0729.001","CTD911","deploy","2","6","006"," 71.378728"," -151.044850","234 m","cGelfman","WPNT 2.3","skq201713s","skq201713s-SE-20170831.0729.001","20170830.1831","2017/08/30 18:31:53","2017-08-30T18:31:53+0000"," & Fri Sep  1 13:06:55 2017 & Fri Sep  8 07:56:35 2017 & Fri Sep  8 08:25:00 2017"
60,Thu  31 Aug 2017 07:30:13 +0000,"20170831.0730.001","CTD911","recover","2","6","006"," 71.378722"," -151.044842","234 m","cGelfman","WPNT 2.3","skq201713s","skq201713s-SE-20170831.0730.001","20170830.1846","2017/08/30 18:46:53","2017-08-30T18:46:53+0000"," & Fri Sep  1 13:07:24 2017 & Fri Sep  8 07:57:37 2017 & Fri Sep  8 08:25:26 2017"
61,Thu  31 Aug 2017 07:31:37 +0000,"20170831.0731.001","CTD911","deploy","2","7","007"," 71.333312"," -151.072399","157 m","cGelfman","WPNT 2.4","skq201713s","skq201713s-SE-20170831.0731.001","20170830.1922","2017/08/30 19:22:53","2017-08-30T19:22:53+0000"," & Fri Sep  1 13:07:55 2017 & Fri Sep  8 07:58:25 2017 & Fri Sep  8 08:26:12 2017"
62,Thu  31 Aug 2017 07:33:59 +0000,"20170831.0733.001","CTD911","recover","2","7","007"," 71.333301"," -151.072371","157 m","cGelfman","WPNT 2.4","skq201713s","skq201713s-SE-20170831.0733.001","20170830.1938","2017/08/30 19:38:53","2017-08-30T19:38:53+0000"," & Thu Aug 31 07:34:33 2017 & Thu Aug 31 07:35:04 2017 & Fri Sep  1 13:08:17 2017 & Fri Sep  8 07:59:54 2017 & Fri Sep  8 08:26:33 2017 & Thu Sep 14 08:21:55 2017"
63,Thu  31 Aug 2017 07:36:34 +0000,"20170831.0736.001","CTD911","deploy","2","8","008"," 71.288942"," -151.099399","57 m","cGelfman","WPNT 2.5","skq201713s","skq201713s-SE-20170831.0736.001","20170830.2201","2017/08/30 22:01:53","2017-08-30T22:01:53+0000"," & Fri Sep  1 13:08:50 2017 & Fri Sep  8 08:01:19 2017 & Fri Sep  8 08:26:55 2017"
64,Thu  31 Aug 2017 07:37:25 +0000,"20170831.0737.001","CTD911","recover","2","8","008"," 71.288943"," -151.099383","57 m","cGelfman","WPNT 2.5","skq201713s","skq201713s-SE-20170831.0737.001","20170830.2211","2017/08/30 22:11:53","2017-08-30T22:11:53+0000"," & Fri Sep  1 13:09:21 2017 & Fri Sep  8 08:01:45 2017 & Fri Sep  8 08:27:37 2017"
65,Thu  31 Aug 2017 07:38:21 +0000,"20170831.0738.001","CTD911","deploy","2","9","009"," 71.243052"," -151.128653","54 m","cGelfman","WPNT 2.6","skq201713s","skq201713s-SE-20170831.0738.001","20170830.2251","2017/08/30 22:51:53","2017-08-30T22:51:53+0000"," & Thu Aug 31 07:41:38 2017 & Fri Sep  1 13:09:52 2017 & Fri Sep  8 08:04:03 2017 & Fri Sep  8 08:28:28 2017"
66,Thu  31 Aug 2017 07:39:37 +0000,"20170831.0739.001","CTD911","recover","2","9","009"," 71.243052"," -151.128692","54 m","cGelfman","WPNT 2.6","skq201713s","skq201713s-SE-20170831.0739.001","20170830.2301","2017/08/30 23:01:53","2017-08-30T23:01:53+0000"," & Fri Sep  1 13:10:13 2017 & Fri Sep  8 08:05:55 2017 & Fri Sep  8 08:28:52 2017"
67,Thu  31 Aug 2017 07:43:34 +0000,"20170831.0743.001","CTD911","deploy","2","10","010"," 71.198321"," -151.157336","51 m","cGelfman","WPNT 2.7","skq201713s","skq201713s-SE-20170831.0743.001","20170831.0028","2017/08/31 00:28:53","2017-08-31T00:28:53+0000"," & Fri Sep  1 13:10:41 2017 & Fri Sep  8 08:07:47 2017 & Fri Sep  8 08:29:55 2017"
68,Thu  31 Aug 2017 07:44:31 +0000,"20170831.0744.001","CTD911","recover","2","10","010"," 71.198329"," -151.157314","54 m","cGelfman","WPNT 2.7","skq201713s","skq201713s-SE-20170831.0744.001","20170831.0033","2017/08/31 00:33:53","2017-08-31T00:33:53+0000"," & Fri Sep  1 13:12:04 2017 & Fri Sep  8 08:10:09 2017 & Fri Sep  8 08:31:21 2017"
69,Thu  31 Aug 2017 07:46:44 +0000,"20170831.0746.001","CTD911","deploy","2","11","011"," 71.152803"," -151.184526","44 m","cGelfman","WPNT 2.8","skq201713s","skq201713s-SE-20170831.0746.001","20170831.0109","2017/08/31 01:09:08","2017-08-31T01:09:08+0000"," & Fri Sep  1 13:12:47 2017 & Fri Sep  8 08:11:08 2017 & Fri Sep  8 08:32:34 2017"
70,Thu  31 Aug 2017 07:48:06 +0000,"20170831.0748.001","CTD911","recover","2","11","011"," 71.152797"," -151.184486","44 m","cGelfman","WPNT 2.8","skq201713s","skq201713s-SE-20170831.0748.001","20170831.0116","2017/08/31 01:16:08","2017-08-31T01:16:08+0000"," & Fri Sep  1 13:13:48 2017 & Fri Sep  8 08:12:44 2017 & Fri Sep  8 08:32:55 2017"
71,Thu  31 Aug 2017 07:50:47 +0000,"20170831.0750.001","CTD911","deploy","2","12","012"," 71.106168"," -151.213503","20.5m","cGelfman","WPNT 2.9","skq201713s","skq201713s-SE-20170831.0750.001","20170831.0229","2017/08/31 02:29:08","2017-08-31T02:29:08+0000"," & Fri Sep  1 13:14:26 2017 & Fri Sep  8 08:13:48 2017 & Fri Sep  8 08:34:13 2017"
72,Thu  31 Aug 2017 07:52:33 +0000,"20170831.0752.001","CTD911","recover","2","12","012"," 71.106565"," -151.214183","20.5 m","cGelfman","WPNT 2.9","skq201713s","skq201713s-SE-20170831.0752.001","20170831.0235","2017/08/31 02:35:53","2017-08-31T02:35:53+0000"," & Fri Sep  1 13:15:17 2017 & Fri Sep  8 08:15:23 2017 & Fri Sep  8 08:35:06 2017"
73,Thu  31 Aug 2017 07:54:29 +0000,"20170831.0754.001","CTD911","deploy","2","13","013"," 71.061159"," -151.242795","21.48m","cGelfman","WPNT 2.10","skq201713s","skq201713s-SE-20170831.0754.001","20170831.0309","2017/08/31 03:09:23","2017-08-31T03:09:23+0000"," & Fri Sep  8 08:36:29 2017 & Thu Sep 14 08:22:51 2017"
74,Thu  31 Aug 2017 07:55:57 +0000,"20170831.0755.001","CTD911","recover","2","13","013"," 71.061159"," -151.242795","21.48 m","cGelfman","WPNT 2.10","skq201713s","skq201713s-SE-20170831.0755.001","20170831.0309","2017/08/31 03:09:23","2017-08-31T03:09:23+0000"," & Fri Sep  8 08:38:11 2017 & Thu Sep 14 08:23:21 2017"
75,Thu  31 Aug 2017 08:28:40 +0000,"20170831.0828.001","Acrobat","deploy","Test","NaN","1"," 71.693444"," -153.572374",,"cGelfman","Test station","skq201713s","skq201713s-SE-20170831.0828.001","20170829.0033","2017/08/29 00:33:22","2017-08-29T00:33:22+0000"," & Thu Aug 31 08:30:13 2017 & Thu Aug 31 08:31:32 2017 & Thu Sep  7 04:59:46 2017 & Thu Sep  7 05:00:43 2017 & Thu Sep 14 08:24:18 2017 & Thu Sep 14 08:27:11 2017"
76,Thu  31 Aug 2017 08:29:30 +0000,"20170831.0829.001","Tucker Trawl","deploy","2.4","7","1"," 71.347241"," -151.027895","207 m","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0829.001","20170830.2039","2017/08/30 20:38:53","2017-08-30T20:39:00+0000",
77,Thu  31 Aug 2017 08:31:19 +0000,"20170831.0831.001","Tucker Trawl","recover","2.4","7","1"," 71.347867"," -150.980656","207 m","pAlatalo","169 m tdr","skq201713s","skq201713s-SE-20170831.0831.001","20170830.2112","2017/08/30 21:11:53","2017-08-30T21:12:00+0000",
78,Thu  31 Aug 2017 08:45:40 +0000,"20170831.0845.001","Tucker Trawl","deploy","2.6","9","1"," 71.242448"," -151.126258","54 m","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0845.001","20170830.2316","2017/08/30 23:16:53","2017-08-30T23:16:47+0000",
79,Thu  31 Aug 2017 08:47:17 +0000,"20170831.0847.001","Tucker Trawl","recover","2.6","9","1"," 71.243027"," -151.108118","54 m","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0847.001","20170830.2329","2017/08/30 23:29:23","2017-08-30T23:29:18+0000",
80,Thu  31 Aug 2017 09:14:06 +0000,"20170831.0914.001","Tucker Trawl","deploy","2.8","11","1"," 71.154027"," -151.171427","38 m","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0914.001","20170831.0144","2017/08/31 01:44:08","2017-08-31T01:44:13+0000",
81,Thu  31 Aug 2017 09:15:00 +0000,"20170831.0914.002","Tucker Trawl","recover","2.8","11","1"," 71.155888"," -151.158030","38 m","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0914.002","20170831.0155","2017/08/31 01:55:08","2017-08-31T01:55:14+0000",
82,Thu  31 Aug 2017 09:44:13 +0000,"20170831.0944.001","Tucker Trawl","deploy","2.10","13","1"," 71.061585"," -151.239044","22 m","pAlatalo","deploy time 03:25:00","skq201713s","skq201713s-SE-20170831.0944.001","20170831.0325","2017/08/31 03:24:53","2017-08-31T03:24:53+0000"," & Thu Aug 31 09:45:47 2017 & Thu Aug 31 09:46:55 2017 & Thu Sep  7 03:34:44 2017"
83,Thu  31 Aug 2017 09:49:26 +0000,"20170831.0949.001","Tucker Trawl","recover","2.10","13","1"," 71.062076"," -151.231988","22m","pAlatalo","cod end on wrong net ...ng","skq201713s","skq201713s-SE-20170831.0949.001","20170831.0330","2017/08/31 03:30:38","2017-08-31T03:30:40+0000",
84,Thu  31 Aug 2017 09:50:35 +0000,"20170831.0950.001","Tucker Trawl","deploy","2.10","13","2"," 71.062504"," -151.226511","22.8 m","pAlatalo",,"skq201713s","skq201713s-SE-20170831.0950.001","20170831.0336","2017/08/31 03:35:53","2017-08-31T03:36:00+0000",
85,Thu  31 Aug 2017 09:53:20 +0000,"20170831.0953.001","Tucker Trawl","recover","2.10","13","2"," 71.063424"," -151.217312","22.8 m","pAlatalo","18 m tdr single net double oblique hawl","skq201713s","skq201713s-SE-20170831.0953.001","20170831.0344","2017/08/31 03:44:08","2017-08-31T03:44:07+0000",
